"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000001016",2378,3010,3810,1824,2658,2707
"ENSMUSG00000001017",1866,2230,3019,1697,2237,2232
"ENSMUSG00000001018",1727,1989,2824,1592,2359,1878
"ENSMUSG00000001020",21,35,63,18,33,48
"ENSMUSG00000001021",6,20,31,8,26,32
"ENSMUSG00000001023",0,1,0,3,0,0
"ENSMUSG00000001025",368,577,581,290,567,430
"ENSMUSG00000001027",5,0,7,3,3,1
"ENSMUSG00000001029",74,94,154,73,97,90
"ENSMUSG00000001034",855,945,1173,637,843,923
"ENSMUSG00000001036",6310,6822,9505,5258,8179,7580
"ENSMUSG00000001039",336,460,542,306,387,383
"ENSMUSG00000001052",2903,3154,4268,2197,2746,3358
"ENSMUSG00000001053",510,790,1044,705,984,733
"ENSMUSG00000001054",1984,2351,3130,1669,2200,2141
"ENSMUSG00000001056",733,908,1244,682,952,882
"ENSMUSG00000001062",2688,3247,3831,1893,2626,2832
"ENSMUSG00000001065",941,1102,1568,997,1195,1307
"ENSMUSG00000001076",0,0,2,0,3,1
"ENSMUSG00000001082",415,517,638,373,402,434
"ENSMUSG00000001089",5582,6762,10373,5157,7810,8909
"ENSMUSG00000001095",1,0,1,2,0,0
"ENSMUSG00000001098",1463,1669,2282,1067,1451,1785
"ENSMUSG00000001100",3186,4119,5610,2961,4295,3879
"ENSMUSG00000001103",57,74,106,50,156,47
"ENSMUSG00000001105",1727,2146,2875,1394,2085,1903
"ENSMUSG00000001119",3000,3413,4042,2105,2335,3583
"ENSMUSG00000001120",1473,1595,2254,1117,1481,1686
"ENSMUSG00000001123",185,191,302,152,301,203
"ENSMUSG00000001127",5074,5941,8094,3898,5405,5894
"ENSMUSG00000001128",424,586,480,340,423,666
"ENSMUSG00000001131",14,20,26,18,23,32
"ENSMUSG00000001134",26,39,40,18,20,26
"ENSMUSG00000001138",1755,1946,2664,1262,1904,1964
"ENSMUSG00000001143",868,1128,1378,790,1167,1266
"ENSMUSG00000001150",3066,3627,4575,2542,3157,3679
"ENSMUSG00000001151",2127,2392,3609,2011,2859,2731
"ENSMUSG00000001155",3,8,2,2,8,4
"ENSMUSG00000001156",1293,1660,2376,1295,1540,2017
"ENSMUSG00000001157",1231,1454,2036,1062,1369,1483
"ENSMUSG00000001158",542,744,919,480,720,709
"ENSMUSG00000001166",35,59,97,42,64,60
"ENSMUSG00000001168",1,0,0,0,0,1
"ENSMUSG00000001173",3869,4451,5885,2934,4029,4432
"ENSMUSG00000001175",126137,150678,197423,110701,159303,155903
"ENSMUSG00000001211",14036,16764,24420,12844,18374,18472
"ENSMUSG00000001225",5,1,7,11,5,0
